RESIDENCE,persons,workers,vehicles,output,count
"Roanoke County, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,518
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Estimate,"1,200"
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",0 vehicles,Margin of Error,192
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Estimate,"7,315"
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",1 vehicle,Margin of Error,503
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Estimate,"1,810"
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",2 vehicles,Margin of Error,252
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,460
"Roanoke County, Virginia",1-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,137
"Roanoke County, Virginia",1-person household,0 workers,"Total, vehicles available",Estimate,"5,470"
"Roanoke County, Virginia",1-person household,0 workers,"Total, vehicles available",Margin of Error,429
"Roanoke County, Virginia",1-person household,0 workers,0 vehicles,Estimate,"1,005"
"Roanoke County, Virginia",1-person household,0 workers,0 vehicles,Margin of Error,184
"Roanoke County, Virginia",1-person household,0 workers,1 vehicle,Estimate,"3,505"
"Roanoke County, Virginia",1-person household,0 workers,1 vehicle,Margin of Error,377
"Roanoke County, Virginia",1-person household,0 workers,2 vehicles,Estimate,785
"Roanoke County, Virginia",1-person household,0 workers,2 vehicles,Margin of Error,165
"Roanoke County, Virginia",1-person household,0 workers,3-or-more vehicles,Estimate,170
"Roanoke County, Virginia",1-person household,0 workers,3-or-more vehicles,Margin of Error,83
"Roanoke County, Virginia",1-person household,1 worker,"Total, vehicles available",Estimate,"5,325"
"Roanoke County, Virginia",1-person household,1 worker,"Total, vehicles available",Margin of Error,414
"Roanoke County, Virginia",1-person household,1 worker,0 vehicles,Estimate,195
"Roanoke County, Virginia",1-person household,1 worker,0 vehicles,Margin of Error,94
"Roanoke County, Virginia",1-person household,1 worker,1 vehicle,Estimate,"3,810"
"Roanoke County, Virginia",1-person household,1 worker,1 vehicle,Margin of Error,380
"Roanoke County, Virginia",1-person household,1 worker,2 vehicles,Estimate,"1,025"
"Roanoke County, Virginia",1-person household,1 worker,2 vehicles,Margin of Error,198
"Roanoke County, Virginia",1-person household,1 worker,3-or-more vehicles,Estimate,290
"Roanoke County, Virginia",1-person household,1 worker,3-or-more vehicles,Margin of Error,108
"Roanoke County, Virginia",1-person household,2 workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",1-person household,2 workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",1-person household,2 workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,2 workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,2 workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",1-person household,2 workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",1-person household,2 workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,2 workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,2 workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,2 workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,3 workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",1-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",1-person household,3 workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,3 workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,3 workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",1-person household,3 workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",1-person household,3 workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,3 workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,3 workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",1-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",1-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",1-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",1-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",1-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"14,265"
"Roanoke County, Virginia",2-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,617
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Estimate,310
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",0 vehicles,Margin of Error,109
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Estimate,"2,290"
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",1 vehicle,Margin of Error,308
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Estimate,"7,485"
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",2 vehicles,Margin of Error,513
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"4,180"
"Roanoke County, Virginia",2-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,357
"Roanoke County, Virginia",2-person household,0 workers,"Total, vehicles available",Estimate,"4,515"
"Roanoke County, Virginia",2-person household,0 workers,"Total, vehicles available",Margin of Error,378
"Roanoke County, Virginia",2-person household,0 workers,0 vehicles,Estimate,125
"Roanoke County, Virginia",2-person household,0 workers,0 vehicles,Margin of Error,59
"Roanoke County, Virginia",2-person household,0 workers,1 vehicle,Estimate,895
"Roanoke County, Virginia",2-person household,0 workers,1 vehicle,Margin of Error,220
"Roanoke County, Virginia",2-person household,0 workers,2 vehicles,Estimate,"2,265"
"Roanoke County, Virginia",2-person household,0 workers,2 vehicles,Margin of Error,250
"Roanoke County, Virginia",2-person household,0 workers,3-or-more vehicles,Estimate,"1,225"
"Roanoke County, Virginia",2-person household,0 workers,3-or-more vehicles,Margin of Error,218
"Roanoke County, Virginia",2-person household,1 worker,"Total, vehicles available",Estimate,"4,810"
"Roanoke County, Virginia",2-person household,1 worker,"Total, vehicles available",Margin of Error,351
"Roanoke County, Virginia",2-person household,1 worker,0 vehicles,Estimate,170
"Roanoke County, Virginia",2-person household,1 worker,0 vehicles,Margin of Error,85
"Roanoke County, Virginia",2-person household,1 worker,1 vehicle,Estimate,"1,095"
"Roanoke County, Virginia",2-person household,1 worker,1 vehicle,Margin of Error,214
"Roanoke County, Virginia",2-person household,1 worker,2 vehicles,Estimate,"2,205"
"Roanoke County, Virginia",2-person household,1 worker,2 vehicles,Margin of Error,287
"Roanoke County, Virginia",2-person household,1 worker,3-or-more vehicles,Estimate,"1,335"
"Roanoke County, Virginia",2-person household,1 worker,3-or-more vehicles,Margin of Error,188
"Roanoke County, Virginia",2-person household,2 workers,"Total, vehicles available",Estimate,"4,945"
"Roanoke County, Virginia",2-person household,2 workers,"Total, vehicles available",Margin of Error,457
"Roanoke County, Virginia",2-person household,2 workers,0 vehicles,Estimate,15
"Roanoke County, Virginia",2-person household,2 workers,0 vehicles,Margin of Error,25
"Roanoke County, Virginia",2-person household,2 workers,1 vehicle,Estimate,300
"Roanoke County, Virginia",2-person household,2 workers,1 vehicle,Margin of Error,130
"Roanoke County, Virginia",2-person household,2 workers,2 vehicles,Estimate,"3,010"
"Roanoke County, Virginia",2-person household,2 workers,2 vehicles,Margin of Error,375
"Roanoke County, Virginia",2-person household,2 workers,3-or-more vehicles,Estimate,"1,620"
"Roanoke County, Virginia",2-person household,2 workers,3-or-more vehicles,Margin of Error,243
"Roanoke County, Virginia",2-person household,3 workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",2-person household,3 workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",2-person household,3 workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,3 workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,3 workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",2-person household,3 workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",2-person household,3 workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,3 workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,3 workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,3 workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",2-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",2-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",2-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",2-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",2-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"5,895"
"Roanoke County, Virginia",3-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,444
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Estimate,140
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",0 vehicles,Margin of Error,73
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Estimate,930
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",1 vehicle,Margin of Error,238
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Estimate,"2,165"
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",2 vehicles,Margin of Error,364
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"2,660"
"Roanoke County, Virginia",3-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,338
"Roanoke County, Virginia",3-person household,0 workers,"Total, vehicles available",Estimate,530
"Roanoke County, Virginia",3-person household,0 workers,"Total, vehicles available",Margin of Error,171
"Roanoke County, Virginia",3-person household,0 workers,0 vehicles,Estimate,30
"Roanoke County, Virginia",3-person household,0 workers,0 vehicles,Margin of Error,27
"Roanoke County, Virginia",3-person household,0 workers,1 vehicle,Estimate,200
"Roanoke County, Virginia",3-person household,0 workers,1 vehicle,Margin of Error,119
"Roanoke County, Virginia",3-person household,0 workers,2 vehicles,Estimate,160
"Roanoke County, Virginia",3-person household,0 workers,2 vehicles,Margin of Error,99
"Roanoke County, Virginia",3-person household,0 workers,3-or-more vehicles,Estimate,140
"Roanoke County, Virginia",3-person household,0 workers,3-or-more vehicles,Margin of Error,75
"Roanoke County, Virginia",3-person household,1 worker,"Total, vehicles available",Estimate,"1,985"
"Roanoke County, Virginia",3-person household,1 worker,"Total, vehicles available",Margin of Error,323
"Roanoke County, Virginia",3-person household,1 worker,0 vehicles,Estimate,80
"Roanoke County, Virginia",3-person household,1 worker,0 vehicles,Margin of Error,61
"Roanoke County, Virginia",3-person household,1 worker,1 vehicle,Estimate,590
"Roanoke County, Virginia",3-person household,1 worker,1 vehicle,Margin of Error,207
"Roanoke County, Virginia",3-person household,1 worker,2 vehicles,Estimate,775
"Roanoke County, Virginia",3-person household,1 worker,2 vehicles,Margin of Error,208
"Roanoke County, Virginia",3-person household,1 worker,3-or-more vehicles,Estimate,535
"Roanoke County, Virginia",3-person household,1 worker,3-or-more vehicles,Margin of Error,131
"Roanoke County, Virginia",3-person household,2 workers,"Total, vehicles available",Estimate,"2,610"
"Roanoke County, Virginia",3-person household,2 workers,"Total, vehicles available",Margin of Error,324
"Roanoke County, Virginia",3-person household,2 workers,0 vehicles,Estimate,20
"Roanoke County, Virginia",3-person household,2 workers,0 vehicles,Margin of Error,33
"Roanoke County, Virginia",3-person household,2 workers,1 vehicle,Estimate,130
"Roanoke County, Virginia",3-person household,2 workers,1 vehicle,Margin of Error,80
"Roanoke County, Virginia",3-person household,2 workers,2 vehicles,Estimate,"1,075"
"Roanoke County, Virginia",3-person household,2 workers,2 vehicles,Margin of Error,224
"Roanoke County, Virginia",3-person household,2 workers,3-or-more vehicles,Estimate,"1,390"
"Roanoke County, Virginia",3-person household,2 workers,3-or-more vehicles,Margin of Error,237
"Roanoke County, Virginia",3-person household,3 workers,"Total, vehicles available",Estimate,770
"Roanoke County, Virginia",3-person household,3 workers,"Total, vehicles available",Margin of Error,209
"Roanoke County, Virginia",3-person household,3 workers,0 vehicles,Estimate,10
"Roanoke County, Virginia",3-person household,3 workers,0 vehicles,Margin of Error,14
"Roanoke County, Virginia",3-person household,3 workers,1 vehicle,Estimate,15
"Roanoke County, Virginia",3-person household,3 workers,1 vehicle,Margin of Error,24
"Roanoke County, Virginia",3-person household,3 workers,2 vehicles,Estimate,155
"Roanoke County, Virginia",3-person household,3 workers,2 vehicles,Margin of Error,105
"Roanoke County, Virginia",3-person household,3 workers,3-or-more vehicles,Estimate,590
"Roanoke County, Virginia",3-person household,3 workers,3-or-more vehicles,Margin of Error,168
"Roanoke County, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Estimate,0
"Roanoke County, Virginia",3-person household,4-or-more workers,"Total, vehicles available",Margin of Error,0
"Roanoke County, Virginia",3-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",3-person household,4-or-more workers,0 vehicles,Margin of Error,0
"Roanoke County, Virginia",3-person household,4-or-more workers,1 vehicle,Estimate,0
"Roanoke County, Virginia",3-person household,4-or-more workers,1 vehicle,Margin of Error,0
"Roanoke County, Virginia",3-person household,4-or-more workers,2 vehicles,Estimate,0
"Roanoke County, Virginia",3-person household,4-or-more workers,2 vehicles,Margin of Error,0
"Roanoke County, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Estimate,0
"Roanoke County, Virginia",3-person household,4-or-more workers,3-or-more vehicles,Margin of Error,0
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"7,370"
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household","Total, vehicles available",Margin of Error,407
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Estimate,95
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",0 vehicles,Margin of Error,75
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Estimate,665
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",1 vehicle,Margin of Error,199
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Estimate,"3,020"
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",2 vehicles,Margin of Error,299
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Estimate,"3,585"
"Roanoke County, Virginia",4-or-more-person household,"Total, number of workers in household",3-or-more vehicles,Margin of Error,370
"Roanoke County, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Estimate,220
"Roanoke County, Virginia",4-or-more-person household,0 workers,"Total, vehicles available",Margin of Error,110
"Roanoke County, Virginia",4-or-more-person household,0 workers,0 vehicles,Estimate,10
"Roanoke County, Virginia",4-or-more-person household,0 workers,0 vehicles,Margin of Error,16
"Roanoke County, Virginia",4-or-more-person household,0 workers,1 vehicle,Estimate,25
"Roanoke County, Virginia",4-or-more-person household,0 workers,1 vehicle,Margin of Error,26
"Roanoke County, Virginia",4-or-more-person household,0 workers,2 vehicles,Estimate,35
"Roanoke County, Virginia",4-or-more-person household,0 workers,2 vehicles,Margin of Error,24
"Roanoke County, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Estimate,150
"Roanoke County, Virginia",4-or-more-person household,0 workers,3-or-more vehicles,Margin of Error,107
"Roanoke County, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Estimate,"2,455"
"Roanoke County, Virginia",4-or-more-person household,1 worker,"Total, vehicles available",Margin of Error,344
"Roanoke County, Virginia",4-or-more-person household,1 worker,0 vehicles,Estimate,30
"Roanoke County, Virginia",4-or-more-person household,1 worker,0 vehicles,Margin of Error,31
"Roanoke County, Virginia",4-or-more-person household,1 worker,1 vehicle,Estimate,455
"Roanoke County, Virginia",4-or-more-person household,1 worker,1 vehicle,Margin of Error,166
"Roanoke County, Virginia",4-or-more-person household,1 worker,2 vehicles,Estimate,"1,065"
"Roanoke County, Virginia",4-or-more-person household,1 worker,2 vehicles,Margin of Error,222
"Roanoke County, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Estimate,905
"Roanoke County, Virginia",4-or-more-person household,1 worker,3-or-more vehicles,Margin of Error,229
"Roanoke County, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Estimate,"3,355"
"Roanoke County, Virginia",4-or-more-person household,2 workers,"Total, vehicles available",Margin of Error,339
"Roanoke County, Virginia",4-or-more-person household,2 workers,0 vehicles,Estimate,55
"Roanoke County, Virginia",4-or-more-person household,2 workers,0 vehicles,Margin of Error,66
"Roanoke County, Virginia",4-or-more-person household,2 workers,1 vehicle,Estimate,145
"Roanoke County, Virginia",4-or-more-person household,2 workers,1 vehicle,Margin of Error,106
"Roanoke County, Virginia",4-or-more-person household,2 workers,2 vehicles,Estimate,"1,800"
"Roanoke County, Virginia",4-or-more-person household,2 workers,2 vehicles,Margin of Error,223
"Roanoke County, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Estimate,"1,355"
"Roanoke County, Virginia",4-or-more-person household,2 workers,3-or-more vehicles,Margin of Error,222
"Roanoke County, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Estimate,895
"Roanoke County, Virginia",4-or-more-person household,3 workers,"Total, vehicles available",Margin of Error,225
"Roanoke County, Virginia",4-or-more-person household,3 workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",4-or-more-person household,3 workers,0 vehicles,Margin of Error,28
"Roanoke County, Virginia",4-or-more-person household,3 workers,1 vehicle,Estimate,15
"Roanoke County, Virginia",4-or-more-person household,3 workers,1 vehicle,Margin of Error,27
"Roanoke County, Virginia",4-or-more-person household,3 workers,2 vehicles,Estimate,100
"Roanoke County, Virginia",4-or-more-person household,3 workers,2 vehicles,Margin of Error,80
"Roanoke County, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Estimate,775
"Roanoke County, Virginia",4-or-more-person household,3 workers,3-or-more vehicles,Margin of Error,188
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Estimate,445
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,"Total, vehicles available",Margin of Error,125
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,0 vehicles,Margin of Error,28
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Estimate,30
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,1 vehicle,Margin of Error,36
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Estimate,20
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,2 vehicles,Margin of Error,29
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Estimate,395
"Roanoke County, Virginia",4-or-more-person household,4-or-more workers,3-or-more vehicles,Margin of Error,121
"Roanoke city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Estimate,"42,540"
"Roanoke city, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Margin of Error,580
"Roanoke city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Estimate,"5,670"
"Roanoke city, Virginia",Total households,"Total, number of workers in household",0 vehicles,Margin of Error,525
"Roanoke city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Estimate,"16,820"
"Roanoke city, Virginia",Total households,"Total, number of workers in household",1 vehicle,Margin of Error,784
"Roanoke city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Estimate,"13,225"
"Roanoke city, Virginia",Total households,"Total, number of workers in household",2 vehicles,Margin of Error,710
"Roanoke city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Estimate,"6,830"
"Roanoke city, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Margin of Error,545
"Roanoke city, Virginia",Total households,0 workers,"Total, vehicles available",Estimate,"12,520"
"Roanoke city, Virginia",Total households,0 workers,"Total, vehicles available",Margin of Error,617
"Roanoke city, Virginia",Total households,0 workers,0 vehicles,Estimate,"3,465"
"Roanoke city, Virginia",Total households,0 workers,0 vehicles,Margin of Error,402
"Roanoke city, Virginia",Total households,0 workers,1 vehicle,Estimate,"5,925"
"Roanoke city, Virginia",Total households,0 workers,1 vehicle,Margin of Error,471
"Roanoke city, Virginia",Total households,0 workers,2 vehicles,Estimate,"2,275"
"Roanoke city, Virginia",Total households,0 workers,2 vehicles,Margin of Error,337
"Roanoke city, Virginia",Total households,0 workers,3-or-more vehicles,Estimate,860
"Roanoke city, Virginia",Total households,0 workers,3-or-more vehicles,Margin of Error,189
"Roanoke city, Virginia",Total households,1 worker,"Total, vehicles available",Estimate,"17,940"
"Roanoke city, Virginia",Total households,1 worker,"Total, vehicles available",Margin of Error,757
"Roanoke city, Virginia",Total households,1 worker,0 vehicles,Estimate,"1,905"
"Roanoke city, Virginia",Total households,1 worker,0 vehicles,Margin of Error,343
"Roanoke city, Virginia",Total households,1 worker,1 vehicle,Estimate,"9,265"
"Roanoke city, Virginia",Total households,1 worker,1 vehicle,Margin of Error,602
"Roanoke city, Virginia",Total households,1 worker,2 vehicles,Estimate,"4,930"
"Roanoke city, Virginia",Total households,1 worker,2 vehicles,Margin of Error,460
"Roanoke city, Virginia",Total households,1 worker,3-or-more vehicles,Estimate,"1,835"
"Roanoke city, Virginia",Total households,1 worker,3-or-more vehicles,Margin of Error,283
"Roanoke city, Virginia",Total households,2 workers,"Total, vehicles available",Estimate,"10,350"
